fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-01-31;8910;APV;0.61%;3.57%;2.65%;10.35%;0.65%
2023-02-01;8910;APV;0.45%;3.40%;2.57%;9.95%;0.52%
2023-02-02;8910;APV;0.37%;3.40%;2.45%;9.80%;0.48%
2023-02-03;8910;APV;0.52%;3.33%;2.50%;9.78%;0.51%
2023-02-04;8910;APV;0.29%;3.06%;2.53%;9.74%;0.53%
2023-02-05;8910;APV;0.28%;3.05%;2.66%;9.73%;0.55%
2023-02-06;8910;APV;0.30%;3.03%;2.64%;9.72%;0.56%
2023-02-07;8910;APV;0.20%;2.80%;2.55%;9.64%;0.50%
2023-02-08;8910;APV;0.15%;2.52%;2.50%;9.33%;0.48%
2023-02-09;8910;APV;0.20%;2.26%;2.63%;9.33%;0.51%
2023-02-10;8910;APV;0.17%;1.61%;2.51%;9.61%;0.50%
2023-02-11;8910;APV;0.14%;1.43%;2.57%;9.86%;0.53%
2023-02-12;8910;APV;-0.03%;1.44%;2.53%;9.86%;0.56%
2023-02-13;8910;APV;-0.10%;1.38%;2.46%;9.78%;0.53%
2023-02-14;8910;APV;-0.22%;1.17%;2.32%;9.55%;0.43%
2023-02-15;8910;APV;-0.23%;0.63%;2.28%;9.65%;0.43%
2023-02-16;8910;APV;-0.23%;0.47%;2.54%;9.79%;0.44%
2023-02-17;8910;APV;-0.25%;0.44%;2.60%;9.80%;0.44%
2023-02-18;8910;APV;-0.11%;0.40%;2.74%;9.99%;0.48%
2023-02-19;8910;APV;-0.28%;0.41%;2.88%;9.98%;0.51%
2023-02-20;8910;APV;-0.20%;0.44%;2.89%;9.99%;0.56%
2023-02-21;8910;APV;-0.30%;0.07%;2.76%;9.85%;0.47%
2023-02-22;8910;APV;-0.36%;0.00%;3.08%;9.86%;0.43%
2023-02-23;8910;APV;-0.29%;0.22%;3.31%;10.00%;0.50%
2023-02-24;8910;APV;0.02%;0.55%;3.57%;9.92%;0.72%
2023-02-25;8910;APV;0.06%;0.56%;3.55%;9.71%;0.76%
2023-02-26;8910;APV;0.01%;0.57%;3.64%;9.70%;0.79%
2023-02-27;8910;APV;0.29%;0.86%;3.92%;10.00%;1.10%
2023-02-28;8910;APV;0.31%;1.05%;3.92%;10.09%;1.14%
2023-03-01;8910;APV;0.42%;0.71%;3.85%;9.61%;0.93%
2023-03-02;8910;APV;0.46%;0.66%;3.64%;9.38%;0.94%
2023-03-03;8910;APV;0.51%;0.73%;3.69%;9.58%;1.03%
2023-03-04;8910;APV;0.53%;0.74%;3.68%;9.49%;1.06%
2023-03-05;8910;APV;0.54%;0.83%;3.60%;9.48%;1.09%
2023-03-06;8910;APV;0.44%;0.99%;3.50%;9.34%;1.01%
2023-03-07;8910;APV;0.42%;0.93%;3.73%;9.12%;0.93%
2023-03-08;8910;APV;0.41%;0.87%;3.77%;9.21%;0.89%
2023-03-09;8910;APV;0.18%;0.77%;3.41%;8.75%;0.68%
2023-03-10;8910;APV;0.18%;0.73%;3.37%;8.54%;0.68%
2023-03-11;8910;APV;0.16%;0.71%;3.35%;8.68%;0.69%
2023-03-12;8910;APV;0.14%;0.77%;3.15%;8.68%;0.70%
2023-03-13;8910;APV;0.63%;1.08%;3.65%;9.16%;1.16%
2023-03-14;8910;APV;0.61%;0.85%;3.37%;9.15%;1.05%
2023-03-15;8910;APV;0.82%;1.17%;3.65%;9.60%;1.26%
2023-03-16;8910;APV;0.97%;1.28%;3.76%;9.73%;1.41%
2023-03-17;8910;APV;1.06%;1.34%;3.83%;9.90%;1.51%
2023-03-18;8910;APV;1.04%;1.32%;3.80%;9.77%;1.52%
2023-03-19;8910;APV;1.02%;1.43%;3.77%;9.77%;1.53%
