Run Fondo;serie;caracteristica;fecha_inicio;fecha_termino;valor_cuota_inicial;continuadora_serie
8295;A;;2004-05-24;2017-11-09;1000;
8295;B;APV;2004-05-24;2017-11-09;1000;
8295;C;;2007-12-11;2017-11-09;1000;
8295;F;;2006-01-12;2017-11-09;1000;
8295;I;;2007-12-11;2017-11-09;1000;
8295;APV;APV;2017-11-10;;1000;B
8295;CLASICA;;2017-11-10;;1000;A
8295;D;APV;2009-12-29;;1000;
8295;E;APV;2009-01-28;;1000;
8295;G;APV;2012-09-20;;1000;
8295;INSTITUCIO;;2017-11-10;;1000;I
8295;K;;2023-01-24;;1000;
8295;LARGOPLAZO;;2017-11-10;;1000;F
8295;LIQUIDEZ;;2017-11-10;;1000;C
8387;G;;;2022-04-22;1000;
8387;ALTO;;2020-07-13;;1000;
8387;AM;;2023-01-11;;1000;
8387;APV;APV;2005-09-06;;1000;
8387;EJECU;;2005-09-06;;1000;
8387;II;;2016-04-01;;1000;
8387;III;;2016-02-11;;1000;
8387;INVER;;2010-02-03;;1000;
8387;SI;;;;1000;
8387;UNIVE;;2005-09-06;;1000;
8638;APVC;APV;2009-09-11;2021-02-16;1000;
8638;ALTOP;;2008-12-12;;1000;
8638;APV;APV;2008-12-12;;1000;
8638;BPRIV;;2012-01-10;;1000;
8638;CLASI;;2008-12-12;;1000;
8638;COLAB;;2021-02-19;;1000;
8638;FAMIL;;2012-01-10;;1000;
8741;A;;2009-08-05;2021-05-22;1000;
8741;E;;2009-08-05;2021-05-22;1000;
8741;GLOBA;;2009-08-05;2021-05-22;1000;
8741;INVER;;2009-08-05;2021-05-22;1000;
8741;PATRI;;2009-08-05;2021-05-22;1000;
8741;V;;2009-08-05;2021-05-22;1645.7556;UNICA
8741;AHORROSIST;;2021-05-28;;1000;
8741;ALTOPATRIM;;2021-12-23;;1000;
8741;APV;APV;2009-08-05;;1000;
8741;CLASICA;;2021-05-23;;2120.1677;V
8741;CONVENIO;;;;1000;
8741;FAMILIACLA;;2021-05-23;;1381.4695;INVER
8741;VIVIENDADO;;2021-05-23;;1000;
8741;VIVIENDAUN;;2021-05-23;;1000;
8741;WEALTH;;2021-09-29;;1000;
8741;WEB;;2021-05-28;;1000;
8788;B;APV;2010-03-14;2011-05-08;1000;
8788;C;;2010-03-14;2011-05-08;1000;
8788;APV-A;APV;2011-05-09;2013-04-26;1000;
8788;EX;;;2016-03-26;1000;
8788;G-APV;APV-APVC;2013-04-27;2016-03-26;1000;
8788;O;;2015-04-09;2018-03-10;1000;
8788;APV-AP;APV;2018-03-21;2022-09-29;1000;
8788;A;;2010-03-14;;1000;
8788;APV;APV;2013-04-27;;1460.0498;APV-A
8788;APV-AP-APVC;APV-APVC;2022-09-30;;NaN;APV-AP
8788;F;;2011-05-09;;1263.0238;O
8788;I;;2011-05-09;;1000;
8788;LV;;;;1000;
8788;P;;2011-05-09;;1000;
8788;X;;2017-05-25;;1000;
8846;APV;APV;2011-02-14;;1000;
8846;BE;;;;1000;
8846;CLASI;;2011-02-14;;1000;
8846;CRECI;;2011-02-14;;1000;
8846;F;;;;1000;
8846;G;APV;2019-11-19;;1000;
8846;IPA;;2018-07-06;;1000;
8846;PATRI;;2011-02-14;;1000;
8846;VIVIENDA;;2015-03-03;;1000;
8900;G;;;2022-04-22;1000;
8900;ALTO;;2018-07-04;;1000;
8900;AM;;;;1000;
8900;APV;APV;2011-09-28;;1000;
8900;EJECU;;2011-09-28;;1000;
8900;II;;2016-08-31;;1000;
8900;III;;2016-01-21;;1000;
8900;INVER;;2011-09-28;;1000;
8900;SI;;2023-01-06;;1000;
8900;UNIVE;;2011-09-28;;1000;
8910;ALTO;;2019-08-29;;1000;
8910;AM;;;;1000;
8910;APV;APV;2011-12-20;;1000;
8910;EJECU;;2011-12-20;;1000;
8910;GLOBAL;;2020-08-18;;1000;
8994;A;;2013-06-18;2017-01-14;1000;
8994;B;APV;2013-06-18;2017-01-14;1000;
8994;F;;2015-02-18;2017-01-14;1000;
8994;G;;2013-06-18;2017-01-14;1000;
8994;I;;2015-03-06;2017-01-14;1000;
8994;U;;2015-03-03;2017-01-14;1000;
8994;FE;;;2018-07-08;1000;
8994;APV;APV;2017-01-15;;1446.7838;B
8994;APV2;APV;2020-08-14;;1000;
8994;F1;;2017-01-15;;1347.1751;A
8994;F2;;2017-01-15;;1405.7379;G
8994;F3;;2017-01-15;;1082.1579;F
8994;F4;;2017-01-15;;1089.3285;I
8994;F5;;2017-01-15;;1100.0738;U
8994;IT;;2017-04-11;;1000;
8994;S;;2015-02-18;;1000;
8994;S-APV;APV;2019-05-02;;0;
8994;S2;;2017-12-11;;1000;
9063;ALPAT;;2020-12-04;;1000;
9063;APV;APV;2014-06-11;;1000;
9063;APV-AP;APV;2021-05-10;;1000;
9063;BPRIV;;2020-12-03;;1000;
9063;COLAB;;2020-12-09;;1000;
9063;INVER;;2014-06-11;;1000;
9191;H;;2017-06-14;2018-03-13;1000;
9191;L;;2015-06-05;2018-03-13;1000;
9191;APV-AP;APV;2018-06-28;2020-03-21;1000;
9191;O;;2019-04-22;2021-05-07;1000;
9191;A;;2015-06-05;2023-10-13;1000;L
9191;APV;APV;2015-06-05;2023-10-13;1000;
9191;APV-AP-APVC;APV-APVC;2020-03-22;2023-10-13;1041.3881;APV-AP
9191;D;;2020-08-04;2023-10-13;1000;
9191;F;;2018-04-12;2023-10-13;1000;O
9191;I;;2021-12-17;2023-10-13;1000;
9191;Q;;2018-04-20;2023-10-13;1000;
9191;X;;2017-06-28;2023-10-13;1000;
9192;H;;2017-06-14;2018-03-13;1000;
9192;L;;2015-06-05;2018-03-13;1000;
9192;APV-AP;APV;2016-09-23;2020-03-21;1000;
9192;O;;2019-04-05;2021-05-07;1000;
9192;A;;2015-06-05;;1000;L
9192;APV;APV;2015-06-05;;1000;
9192;APV-AP-APVC;APV-APVC;2020-03-22;;1097.728;APV-AP
9192;D;;2020-08-04;;1000;
9192;F;;2018-05-03;;1000;O
9192;I;;2021-08-06;;1000;
9192;Q;;2018-04-20;;1000;
9192;X;;2017-06-28;;1000;
9430;APV-AP;APV;2020-09-08;2022-09-08;1000;
9430;A;;2017-06-28;;1000;
9430;APV;APV;2017-06-28;;1000;
9430;APV-AP-APVC;APV-APVC;2022-09-09;;1000;APV-AP
9430;F;;2017-06-28;;1000;
9430;P;;2017-06-29;;1000;
9432;APV-AP;APV;2020-09-08;2022-09-08;1000;
9432;A;;2017-06-28;;1000;
9432;APV;APV;2017-06-28;;1000;
9432;APV-AP-APVC;APV-APVC;2022-09-09;;1000;APV-AP
9432;F;;2017-06-28;;1000;
9432;P;;2017-06-29;;1000;
9647;G;;2018-09-11;2022-02-17;1000;
9647;ALTO;;2018-09-28;;1000;
9647;AM;;;;1000;
9647;APV;APV;2019-09-27;;1000;
9647;EJECU;;2018-09-25;;1000;
9647;GLOBAL;;2022-02-18;;1068.5828;G
9647;I;;;;1000;
9649;G;;2018-09-11;2022-02-17;1000;
9649;ALTO;;2018-10-02;;1000;
9649;AM;;;;1000;
9649;APV;APV;2019-09-27;;1000;
9649;DIGITAL;;2022-02-18;;1000;
9649;EJECU;;2018-09-11;;1000;
9649;GLOBAL;;2022-02-18;;1085.9958;G
9649;I;;;;1000;
9649;YOU;;2023-07-17;;1000;
9765;APV;APV;2023-01-06;;1000;
9765;CB;;;;1000;
9765;CLASICO;;2019-07-02;;1000;
9765;G;APV;;;1000;
9765;IPA;;2020-07-21;;1000;
9765;PATRIMONIA;;2019-10-18;;1000;
9765;WEB;;2023-04-03;;1000;
9766;APV;APV;2023-01-26;;1000;
9766;CB;;2023-10-25;;1000;
9766;CLASICO;;2019-07-01;;1000;
9766;G;APV;;;1000;
9766;IPA;;2020-07-21;;1000;
9766;PATRIMONIA;;2019-10-02;;1000;
9766;WEB;;2023-04-04;;1000;
9768;APV;APV;2023-01-26;;1000;
9768;CLASICO;;2019-07-02;;1000;
9768;IPA;;2019-07-02;;1000;
9768;PATRIMONIA;;2019-10-04;;1000;
9768;WEB;;;;1000;
9872;B-APV;APV;2020-05-20;2020-09-01;1000;
9872;F-APV;APV;;2020-09-01;1000;
9872;I-APV;APV;;2020-09-01;1000;B-APV F-APV
9872;A;;2020-04-27;;1000;
9872;ADC;;2020-04-27;;1000;
9872;APV;APV;2020-09-02;;NaN;I-APV
9872;B;;2020-08-14;;1000;
9872;C;;2020-12-28;;1000;
9872;D;;;;1000;
9872;D-APV;APV;;;1000;
9872;DIGITAL;;2020-10-07;;1000;
9872;F;;;;1000;
9872;I;;2020-06-02;;1000;
